HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Man United,Leicester,2,1,1.57,3.9,7.5
Bournemouth,Cardiff,2,0,1.9,3.6,4.5
Fulham,Crystal Palace,0,2,2.5,3.4,3
Huddersfield,Chelsea,0,3,6.5,4,1.61
Newcastle,Tottenham,1,2,3.9,3.5,2.04
Watford,Brighton,2,0,2.37,3.2,3.4
Wolves,Everton,2,2,2.37,3.3,3.3
Arsenal,Man City,0,2,4,3.8,1.95
Liverpool,West Ham,4,0,1.25,6.5,14
Southampton,Burnley,0,0,1.85,3.5,5
Cardiff,Newcastle,0,0,3.25,3.1,2.54
Chelsea,Arsenal,3,2,1.8,4,4.5
Everton,Southampton,2,1,1.9,3.5,4.75
Leicester,Wolves,2,0,2.04,3.5,3.9
Tottenham,Fulham,3,1,1.28,6,12
West Ham,Bournemouth,1,2,2.1,3.6,3.7
Brighton,Man United,3,2,5.5,3.6,1.75
Burnley,Watford,1,3,2.45,3.1,3.4
Man City,Huddersfield,6,1,1.1,13,26
Crystal Palace,Liverpool,0,2,7,5,1.44
Arsenal,West Ham,3,1,1.36,5.5,9
Bournemouth,Everton,2,2,2.62,3.6,2.75
Huddersfield,Cardiff,0,0,2.37,3,3.7
Liverpool,Brighton,1,0,1.16,8.5,19
Southampton,Leicester,1,2,2.45,3.2,3.25
Wolves,Man City,1,1,11,6.5,1.28
Fulham,Burnley,4,2,2,3.4,4.33
Newcastle,Chelsea,1,2,5.75,4,1.66
Watford,Crystal Palace,2,1,2.6,3.25,3
Man United,Tottenham,0,3,2.62,3.3,2.9
Brighton,Fulham,2,2,2.3,3.4,3.4
Chelsea,Bournemouth,2,0,1.3,6,11
Crystal Palace,Southampton,0,2,2,3.5,4.2
Everton,Huddersfield,1,1,1.53,4.2,7.5
Leicester,Liverpool,1,2,7.5,5,1.44
Man City,Newcastle,2,1,1.11,11,26
West Ham,Wolves,0,1,2.6,3.4,2.87
Burnley,Man United,0,2,6,3.75,1.7
Cardiff,Arsenal,2,3,6.5,4.33,1.57
Watford,Tottenham,2,1,5.5,4.2,1.64
Bournemouth,Leicester,4,2,2.45,3.5,3
Chelsea,Cardiff,4,1,1.18,8,19
Huddersfield,Crystal Palace,0,1,3.3,3.1,2.5
Man City,Fulham,3,0,1.12,10,26
Newcastle,Arsenal,1,2,4.2,3.8,1.9
Tottenham,Liverpool,1,2,3,3.6,2.4
Watford,Man United,1,2,4.33,3.6,1.95
Everton,West Ham,1,3,2,3.75,3.9
Wolves,Burnley,1,0,1.75,3.6,5.75
Southampton,Brighton,2,2,2.1,3.4,3.9
Brighton,Tottenham,1,2,5,4,1.75
Burnley,Bournemouth,4,0,3,3.4,2.5
Cardiff,Man City,0,5,23,8,1.16
Crystal Palace,Newcastle,0,0,2.14,3.4,3.75
Fulham,Watford,1,1,2.54,3.5,2.9
Leicester,Huddersfield,3,1,1.61,4,6.5
Liverpool,Southampton,3,0,1.2,7.5,17
Man United,Wolves,1,1,1.57,4.33,6.5
Arsenal,Everton,2,0,1.44,5,7.5
West Ham,Chelsea,0,0,6,4.5,1.57
Arsenal,Watford,2,0,1.44,5.1,7
Chelsea,Liverpool,1,1,2.8,3.6,2.54
Everton,Fulham,3,0,1.75,4.2,4.75
Huddersfield,Tottenham,0,2,8.5,4.5,1.44
Man City,Brighton,2,0,1.1,12,34
Newcastle,Leicester,0,2,2.6,3.3,3
West Ham,Man United,3,1,4.5,3.8,1.85
Wolves,Southampton,2,0,1.8,3.6,5.25
Cardiff,Burnley,1,2,2.62,3,3.2
Bournemouth,Crystal Palace,2,1,2.25,3.5,3.4
Brighton,West Ham,1,0,2.7,3.3,2.87
Burnley,Huddersfield,1,1,2.14,3.1,4.2
Crystal Palace,Wolves,0,1,3,3.2,2.62
Leicester,Everton,1,2,2.2,3.4,3.6
Man United,Newcastle,3,2,1.44,4.5,9
Tottenham,Cardiff,1,0,1.22,7,15
Watford,Bournemouth,0,4,2.14,3.6,3.5
Fulham,Arsenal,1,5,5.25,4.33,1.66
Liverpool,Man City,0,0,2.54,3.6,2.8
Southampton,Chelsea,0,3,6,4.1,1.61
Bournemouth,Southampton,0,0,2.04,3.7,3.75
Cardiff,Fulham,4,2,2.5,3.5,2.95
Chelsea,Man United,2,2,1.75,3.8,5.25
Huddersfield,Liverpool,0,1,11,5.5,1.33
Man City,Burnley,5,0,1.08,13,34
Newcastle,Brighton,0,1,2.2,3.25,3.8
West Ham,Tottenham,0,1,4.1,3.9,1.9
Wolves,Watford,0,2,1.75,3.75,5.25
Everton,Crystal Palace,2,0,1.85,3.6,4.75
Arsenal,Leicester,3,1,1.53,4.5,6.5
Brighton,Wolves,1,0,3.2,3.2,2.5
Fulham,Bournemouth,0,3,2.9,3.75,2.4
Leicester,West Ham,1,1,2.1,3.5,3.8
Liverpool,Cardiff,4,1,1.11,11,26
Southampton,Newcastle,0,0,2.1,3.4,3.9
Watford,Huddersfield,3,0,1.75,3.75,5.25
Burnley,Chelsea,0,4,11,5,1.36
Crystal Palace,Arsenal,2,2,4.75,4.1,1.75
Man United,Everton,2,1,1.72,3.9,5.25
Tottenham,Man City,0,1,4.75,4.1,1.75
Arsenal,Liverpool,1,1,3.9,3.9,1.95
Bournemouth,Man United,1,2,3.6,3.7,2.1
Cardiff,Leicester,0,1,3.8,3.4,2.14
Everton,Brighton,3,1,1.61,4,6.5
Newcastle,Watford,1,0,2.75,3.25,2.8
West Ham,Burnley,4,2,1.75,3.75,5.25
Wolves,Tottenham,2,3,3.1,3.4,2.45
Chelsea,Crystal Palace,3,1,1.25,6.75,13
Man City,Southampton,6,1,1.11,11,29
