HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Aston Villa,West Ham,3,0,2,3.3,4,,
Blackburn,Everton,1,0,2.88,3.25,2.5,,
Bolton,Fulham,0,0,2.2,3.3,3.4,,
Chelsea,West Brom,6,0,1.17,7,17,,
Sunderland,Birmingham,2,2,2.1,3.3,3.6,,
Tottenham,Man City,0,0,2.4,3.3,3,,
Wigan,Blackpool,0,4,1.83,3.5,4.5,,
Wolves,Stoke,2,1,2.3,3.25,3.2,,
Liverpool,Arsenal,1,1,2.5,3.25,2.88,,
Man United,Newcastle,3,0,1.25,5.5,15,,
Arsenal,Blackpool,6,0,1.17,7,19,,
Birmingham,Blackburn,2,1,2.2,3.25,3.4,,
Everton,Wolves,1,1,1.5,4,7,,
Stoke,Tottenham,1,2,3.4,3.3,2.2,,
West Brom,Sunderland,1,0,2.5,3.25,2.88,,
West Ham,Bolton,1,3,2.25,3.3,3.25,,
Wigan,Chelsea,0,6,15,6,1.22,,
Fulham,Man United,2,2,6,4,1.57,,
Newcastle,Aston Villa,6,0,3.2,3.25,2.3,,
Man City,Liverpool,3,0,2.38,3.25,3.1,,
Blackburn,Arsenal,1,2,6,4,1.57,,
Blackpool,Fulham,2,2,3.2,3.25,2.3,,
Chelsea,Stoke,2,0,1.11,9,23,,
Man United,West Ham,3,0,1.14,8,19,,
Tottenham,Wigan,0,1,1.25,5.75,13,,
Wolves,Newcastle,1,1,2.4,3.2,3.1,,
Aston Villa,Everton,1,0,2.5,3.25,2.88,,
Bolton,Birmingham,2,2,2.1,3.3,3.6,,
Liverpool,West Brom,1,0,1.22,6,15,,
Sunderland,Man City,1,0,4.5,3.5,1.83,,
Arsenal,Bolton,4,1,1.25,5.5,13,,
Everton,Man United,3,3,4.2,3.4,1.91,,
Fulham,Wolves,2,1,1.83,3.5,4.5,,
Man City,Blackburn,1,1,1.33,5,10,,
Newcastle,Blackpool,0,2,1.57,4,6,,
West Brom,Tottenham,1,1,3.75,3.25,2.1,,
West Ham,Chelsea,1,3,10,5,1.33,,
Wigan,Sunderland,1,1,2.5,3.25,2.88,,
Birmingham,Liverpool,0,0,3.1,3.2,2.4,,
Stoke,Aston Villa,2,1,2.5,3.25,2.88,,
Aston Villa,Bolton,1,1,1.8,3.6,4.5,,
Blackburn,Fulham,1,1,2,3.3,4,,
Everton,Newcastle,0,1,1.62,3.75,6,,
Stoke,West Ham,1,1,1.91,3.4,4.2,,
Sunderland,Arsenal,1,1,5.5,3.7,1.67,,
Tottenham,Wolves,3,1,1.4,4.5,8.5,,
West Brom,Birmingham,3,1,2.25,3.3,3.25,,
Chelsea,Blackpool,4,0,1.1,9,26,,
Man United,Liverpool,3,2,1.7,3.5,5.5,,
Wigan,Man City,0,2,5,3.6,1.73,,
Arsenal,West Brom,2,3,1.22,6,15,,
Birmingham,Wigan,0,0,1.83,3.5,4.5,,
Blackpool,Blackburn,1,2,3.2,3.25,2.3,,
Fulham,Everton,0,0,2.75,3.2,2.63,,
Liverpool,Sunderland,2,2,1.44,4.33,7.5,,
Man City,Chelsea,1,0,3.6,3.3,2.1,,
West Ham,Tottenham,1,0,3.5,3.4,2.1,,
Bolton,Man United,2,2,7.5,4,1.5,,
Newcastle,Stoke,1,2,1.91,3.4,4.2,,
Wolves,Aston Villa,1,2,2.88,3.25,2.5,,
Birmingham,Everton,0,2,2.88,3.1,2.63,,
Stoke,Blackburn,1,0,2.25,3.2,3.4,,
Sunderland,Man United,0,0,5,3.5,1.75,,
Tottenham,Aston Villa,2,1,1.91,3.5,4,,
