HomeTeam,AwayTeam,HomeProb,DrawProb,AwayProb
Argentina,Austria,0.623,0.263,0.196
France,Iraq,0.909,0.105,0.048
Norway,Senegal,0.476,0.303,0.286
Jordan,Algeria,0.133,0.256,0.676
Portugal,Uzbekistan,0.800,0.154,0.111
England,Ghana,0.750,0.200,0.111
Panama,Croatia,0.167,0.250,0.653
Colombia,Congo DR,0.636,0.286,0.167
Bosnia-Herzegovina,Qatar,0.714,0.200,0.143
Switzerland,Canada,0.417,0.323,0.333
Morocco,Haiti,0.810,0.190,0.108
Scotland,Brazil,0.154,0.231,0.733
Czechia,Mexico,0.213,0.280,0.565
South Korea,South Africa,0.524,0.294,0.250
Ecuador,Germany,0.231,0.278,0.615
Japan,Sweden,0.488,0.323,0.323
Tunisia,Netherlands,0.121,0.208,0.778
Türkiye,United States,0.377,0.308,0.435
Curaçao,Côte d'Ivoire,0.077,0.154,0.833
Paraguay,Australia,0.545,0.294,0.244
