HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Russia,Saudi Arabia,5,0,1.57,4.2,6.5
Egypt,Uruguay,0,1,9.5,4.33,1.53
Russia,Egypt,3,1,1.67,3.8,5.5
Uruguay,Saudi Arabia,1,0,1.25,5.5,12.0
Uruguay,Russia,3,0,2.0,3.25,3.8
Saudi Arabia,Egypt,2,1,2.5,3.2,2.75
Morocco,Iran,0,1,2.1,3.25,3.4
Portugal,Spain,3,3,3.1,3.3,2.35
Portugal,Morocco,1,0,1.4,4.75,8.0
Iran,Spain,0,1,12.0,6.0,1.27
Iran,Portugal,1,1,5.75,4.0,1.57
Spain,Morocco,2,2,1.44,4.5,7.5
France,Australia,2,1,1.36,5.0,9.0
Peru,Denmark,0,1,2.8,3.1,2.55
Denmark,Australia,1,1,1.8,3.5,4.75
France,Peru,1,0,1.4,4.75,8.5
Denmark,France,0,0,4.5,3.8,1.72
Australia,Peru,0,2,3.0,3.25,2.4
Argentina,Iceland,1,1,1.3,5.5,10.0
Croatia,Nigeria,2,0,1.8,3.5,4.75
Argentina,Croatia,0,3,1.7,3.6,5.25
Nigeria,Iceland,2,0,2.25,3.1,3.2
Nigeria,Argentina,1,2,9.5,5.0,1.4
Iceland,Croatia,1,2,5.5,3.75,1.62
Costa Rica,Serbia,0,1,3.4,3.2,2.1
Brazil,Switzerland,1,1,1.5,4.33,7.5
Brazil,Costa Rica,2,0,1.25,6.0,13.0
Serbia,Switzerland,1,2,2.75,3.25,2.55
Serbia,Brazil,0,2,9.5,5.0,1.36
Switzerland,Costa Rica,2,2,1.83,3.5,4.33
Germany,Mexico,0,1,1.44,4.75,7.5
Sweden,South Korea,1,0,1.72,3.6,5.0
South Korea,Mexico,1,2,5.25,3.75,1.67
Germany,Sweden,2,1,1.57,4.0,6.0
South Korea,Germany,2,0,9.5,5.5,1.4
Mexico,Sweden,0,3,2.5,3.25,2.9
Belgium,Panama,3,0,1.14,7.5,21.0
Tunisia,England,1,2,7.5,4.75,1.44
Belgium,Tunisia,5,2,1.25,6.0,13.0
England,Panama,6,1,1.18,7.0,17.0
England,Belgium,0,1,2.5,3.25,2.88
Panama,Tunisia,1,2,3.4,3.2,2.1
Colombia,Japan,1,2,1.53,4.0,6.5
Poland,Senegal,1,2,2.1,3.25,3.4
